"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"ANTXRLP1",40.2080008653305,-5.1869939850628,0.686938837407742,1.43686432863713e-15,5.42792358659165e-14,"ANTXRLP1"
"DKK3",51.9705325438435,-5.18361072531753,0.654256074781817,2.56684917268137e-16,1.07438038971751e-14,"DKK3"
"TRAJ5",3.18237434772791,-5.18192866977045,2.7277479884811,0.000460116219418375,0.00242368795368431,"TRAJ5"
"TNFRSF13C",50.3313983811046,-5.17280839710464,0.550875539639756,1.04848476445158e-21,7.75360040651687e-20,"TNFRSF13C"
"SIRPG",332.046853945271,-5.15726587763275,0.302456342962399,2.20115514905009e-66,2.42451447154317e-63,"SIRPG"
"PRSS35",3.76659177260947,-5.14813483568986,3.02127150890519,0.0012934351357237,0.0060314194564228,"PRSS35"
"DPY19L2P1",2.89043284813396,-5.12149944950877,2.62358101212157,0.00030239834438806,0.00167069497131819,"DPY19L2P1"
"PLEKHH2",21.9809766916896,-5.11014660042214,0.855720281556123,4.03698359763685e-10,7.23338978864247e-09,"PLEKHH2"
"ID3",29.0872056348098,-5.09383716437959,0.667782715722868,9.87831015894712e-15,3.30773240010313e-13,"ID3"
"RHPN1",494.985350094396,-5.06421321787306,0.305251139690382,8.14590692174236e-63,7.74897909355564e-60,"RHPN1"
"SEC14L2",252.537633280673,-5.06374618257929,0.287483252994671,1.91037404653577e-70,2.8557362889929e-67,"SEC14L2"
"LOC105369151",53.6007228868972,-5.05082515746616,0.504506243614602,4.40094669335451e-24,4.14878434227582e-22,"LOC105369151"
"SORCS3",2.9880198035622,-5.05047672835414,2.72489048419781,0.00058988523350675,0.00302724820177275,"SORCS3"
"GAL3ST4",155.473034504325,-5.0397333115865,0.406867876977979,4.24433666205825e-36,1.03285439143669e-33,"GAL3ST4"
"SIRPG-AS1",44.7036127223726,-5.01655754005058,0.78378394223598,9.91251480356873e-12,2.26225855844151e-10,"SIRPG-AS1"
"FBXL16",140.44276432248,-5.00563910137311,0.460958846349747,2.23085560222934e-28,3.19776342763395e-26,"FBXL16"
"LOC105377019",6.83035850352357,-4.9997905460675,1.39274689090606,4.43167984630954e-06,3.83883260859131e-05,"LOC105377019"
"TSHZ2",16.6583638193882,-4.99282910459868,1.02366750686051,1.22969568354214e-07,1.44123138423378e-06,"TSHZ2"
"ADD2",70.4893535730941,-4.99165236516764,0.635037434565818,4.08158441625517e-16,1.67818072030232e-14,"ADD2"
"RBM20",35.4327488130333,-4.98523765375151,0.624496058913956,4.09556690278301e-16,1.68062792434201e-14,"RBM20"
"TRBV11-1",15.8243305767919,-4.98338134688008,0.916151043719128,9.61872978075645e-09,1.38636898658176e-07,"TRBV11-1"
"SLAMF1",242.176890273942,-4.92729614443746,0.757129824384559,4.49257310415354e-12,1.06237932117204e-10,"SLAMF1"
"PTPRK",66.6275124772797,-4.91080441320788,0.470374846925151,1.42637193771515e-26,1.6865034978815e-24,"PTPRK"
"KCNQ1",206.216871723319,-4.8834440627268,0.538516625126323,8.94278608401908e-21,5.94141673543973e-19,"KCNQ1"
"ACTN1-DT",10.461982053502,-4.87733438225897,1.12545655506289,1.89321086642717e-06,1.78152504553003e-05,"ACTN1-DT"
"PLEKHG1",29.3491636255184,-4.87635254838916,0.725093670537014,4.01397662780275e-12,9.54596623484726e-11,"PLEKHG1"
"THBS4-AS1",13.8613869405363,-4.85638663774177,0.988447338082889,2.0027657162844e-07,2.25586011358449e-06,"THBS4-AS1"
"TRAJ15",2.5789953317356,-4.84750935065072,2.62155378443914,0.000546412707696195,0.00282702723032533,"TRAJ15"
"TRBV7-4",16.8182099319498,-4.82011528504577,0.841959582097601,4.14394715255437e-09,6.34414967144535e-08,"TRBV7-4"
"P3H3",26.0298842051654,-4.81399980740128,0.810317723636593,3.32028985040495e-10,6.05815396593503e-09,"P3H3"
"TBC1D4",1043.44352253079,-4.8138386059977,0.294835688757742,7.24268514169902e-61,6.06299658581909e-58,"TBC1D4"
"LOC105376859",6.24701488842384,-4.81015598585541,1.45342245932468,1.81979564648548e-05,0.000137093120901942,"LOC105376859"
"TRAC",2840.96630163238,-4.81006164782018,0.229393268380501,1.29596091844614e-98,3.87455287160584e-95,"TRAC"
"LOC101927840",2.61002092994178,-4.80707841247884,2.66378416699503,0.000713749496921566,0.00358295741702436,"LOC101927840"
"RCAN3",1644.95331250032,-4.79627542709319,0.368029021806374,5.2007181048269e-40,1.60059747790908e-37,"RCAN3"
"KRT18",16.791712680734,-4.79156410831285,0.799688995496413,8.86180399342317e-10,1.51272295248255e-08,"KRT18"
"LOC107986490",6.33077065718591,-4.7897148234321,1.49355255477252,2.8569903398786e-05,0.000203882101938559,"LOC107986490"
"TRAJ6",6.21090353851845,-4.77471739368232,1.43415498146753,1.49728330982372e-05,0.000114822810949032,"TRAJ6"
"RETREG1",294.695589917562,-4.77135993898133,0.37217212533505,8.62446961034696e-39,2.47250547952522e-36,"RETREG1"
"LOC105377752",6.28265055360739,-4.7532852178572,1.52321194544623,4.14031843039927e-05,0.000283535942772892,"LOC105377752"
"ST8SIA1",37.5270392243984,-4.74984759518186,0.568948080067906,1.5273410870947e-17,7.34809063694666e-16,"ST8SIA1"
"LTK",627.117649589526,-4.74621653481426,0.716828830447149,1.79172956446594e-12,4.47996610814136e-11,"LTK"
"FAM201A",9.89736653109703,-4.73584554660397,1.17265677380766,5.93952577580949e-06,4.98805760177131e-05,"FAM201A"
"LOC107986195",6.21723613232121,-4.73455781580312,1.54624506662163,5.36576469857084e-05,0.000356944448861063,"LOC107986195"
"LOC105369441",2.65871792971252,-4.73394060366425,2.72751583407318,0.00101769922246236,0.00488495626781934,"LOC105369441"
"TRAJ50",6.37940333492375,-4.71904344217887,1.60385139884271,8.51825663723676e-05,0.000542844320658011,"TRAJ50"
"LOC105379337",13.3135400226287,-4.71729932595385,1.04500670138056,9.54967337088129e-07,9.53964507426271e-06,"LOC105379337"
"CNNM1",6.35055438998558,-4.70530022143331,1.54424597236525,5.12653547779005e-05,0.000343322030333409,"CNNM1"
"SDK2",129.044234077983,-4.70253650002298,0.655352057953898,5.41119313764125e-14,1.65563523369234e-12,"SDK2"
"MIR378I",12.5063726672832,-4.64813577707577,0.948713314796373,1.88933159156262e-07,2.13729359720121e-06,"MIR378I"
"NCMAP-DT",71.0148862247747,-4.63953925154023,0.484666496402887,1.44145034442528e-22,1.16925088403614e-20,"NCMAP-DT"
"SHANK1",60.5302124967205,-4.62855040010141,0.724938517673093,9.22529503225849e-12,2.11233013605148e-10,"SHANK1"
"LEF1",2283.05900895588,-4.62099578385441,0.318615451787719,8.52435780564071e-49,3.96439467014331e-46,"LEF1"
"TERT",2.54081569957904,-4.61484440149087,2.77903062618462,0.00147352394323416,0.00676121663758046,"TERT"
"NEXMIF",5.87984894521659,-4.61171176744758,1.40430986014816,1.48252818920294e-05,0.000113816397445485,"NEXMIF"
"AP3B2",5.58355455171335,-4.6104504645459,1.4331896633922,2.61113099378005e-05,0.000188303754093139,"AP3B2"
"ADAMTSL2",3.23846785194759,-4.5875733244498,3.240162306085,0.00329272435060348,0.0135250510715269,NA
"TRBV29OR9-2",2.49533946914119,-4.58096184466995,2.74950948221171,0.00140284757230395,0.00648240097001039,"TRBV29OR9-2"
"LOC105374614",2.35813319235603,-4.57591728351614,2.66017498906461,0.00106812701715807,0.00510359867924293,"LOC105374614"
"RETREG1-AS1",58.3628333877307,-4.57372614578859,0.508817019253412,1.19006792303025e-20,7.85670078649117e-19,"RETREG1-AS1"
"SYDE2",81.1688969480944,-4.57215472044141,0.408177089901731,3.73848254185917e-30,6.06503586325803e-28,"SYDE2"
"GIPC2",2.54754225811666,-4.56779067224749,2.77491818255966,0.00151096986185027,0.00690759237049381,"GIPC2"
"TRAJ24",2.58754650551307,-4.56210387498125,2.81631909658542,0.00170326903501806,0.00766416133409115,"TRAJ24"
"TRAV13-2",35.4961018630364,-4.55205290730065,0.598196086714537,6.11188287488021e-15,2.11071757104774e-13,"TRAV13-2"
"TRAJ30",2.49528907758532,-4.54946336033801,2.7881820483859,0.00164570787838091,0.00743290317219983,"TRAJ30"
"SHISA2",18.054916567186,-4.52245054648174,1.18679349461657,8.17021647949141e-06,6.67915197198423e-05,"SHISA2"
"KCNQ3",5.9146882603189,-4.50851031547006,1.62236686598474,0.000137452171953438,0.000833313746999289,"KCNQ3"
"PRSS1",79.011420531092,-4.50462703366725,0.432577081849291,3.22810475043108e-26,3.73247382414485e-24,"PRSS1"
"LRRC7-AS1",2.3035288919485,-4.49375985930066,2.68728512939793,0.00134367815976084,0.00624483600432487,"LRRC7-AS1"
"TRAJ17",2.39669775055209,-4.49208910035546,2.74231532357024,0.00156310249825301,0.00711298305793411,"TRAJ17"
"TRAJ41",2.35962239616818,-4.47592603268864,2.73278351461755,0.00156530839895565,0.007119924836632,"TRAJ41"
"TRAJ22",2.68599537700536,-4.46409675734477,2.99117068265408,0.00272408478607699,0.0114985168219079,NA
"HPCAL4",109.733515416134,-4.46363566550096,0.959954778621807,1.08695936432876e-07,1.29102642319366e-06,"HPCAL4"
"SH3RF2",2.73929547851497,-4.46241540722549,3.02660340590826,0.00286732344846591,0.0120110778882095,NA
"DPP4",525.101360707873,-4.46041089979363,0.427397361371728,1.21219679716465e-26,1.4414121915376e-24,"DPP4"
"CASP1P2",2.35222589171924,-4.45376366017542,2.72688482601244,0.00157292957714576,0.00714372182953701,"CASP1P2"
"SSTR3",157.645215085256,-4.45311221592339,0.569318792464227,5.31528430114848e-16,2.12286774531365e-14,"SSTR3"
"SLC22A17",100.535533149554,-4.44936117056541,0.41939013000023,6.33013887943441e-28,8.65863702410479e-26,"SLC22A17"
"TRPC1",35.223703604517,-4.43765089016523,0.599585613990929,1.11283193346927e-14,3.69672169899126e-13,"TRPC1"
"LOC100996385",14.6380482338903,-4.43272011015707,0.925072289563526,2.09071730932372e-07,2.34357428224568e-06,"LOC100996385"
"TRBV5-4",24.8269346270459,-4.42412187336339,0.628550890348834,3.86652317699339e-13,1.06612117322948e-11,"TRBV5-4"
"EPHX2",332.730423586995,-4.41697197470474,0.41341965075187,7.39020638636295e-28,1.00430025489483e-25,"EPHX2"
"FAAHP1",13.6781156595975,-4.39944556660449,0.952807405483803,6.82465182078966e-07,7.00128986791598e-06,"FAAHP1"
